Season,Episode,Title,Year,Total votes,Average rating,z-score
1,1,Simpsons Roasting on an Open Fire,1989,"7,412.00",8.10,1.12
1,2,Bart the Genius,1990,"4,920.00",7.70,0.64
1,3,Homer's Odyssey,1990,"4,333.00",7.30,0.15
1,4,There's No Disgrace Like Home,1990,"4,270.00",7.70,0.64
1,5,Bart the General,1990,"4,600.00",7.90,0.88
1,6,Moaning Lisa,1990,"4,147.00",7.60,0.51
1,7,The Call of the Simpsons,1990,"4,008.00",7.80,0.76
1,8,The Telltale Head,1990,"3,858.00",7.60,0.51
1,9,Life on the Fast Lane,1990,"3,823.00",7.40,0.27
1,10,Homer's Night Out,1990,"3,706.00",7.30,0.15
1,11,The Crepes of Wrath,1990,"3,767.00",7.80,0.76
1,12,Krusty Gets Busted,1990,"4,151.00",8.30,1.37
1,13,Some Enchanted Evening,1990,"4,094.00",7.70,0.64
2,1,Bart Gets an F,1990,"4,145.00",8.20,1.24
2,2,Simpson and Delilah,1990,"4,247.00",8.20,1.24
2,3,Treehouse of Horror,1990,"4,375.00",8.20,1.24
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,1990,"3,600.00",8.00,1.00
2,5,Dancin' Homer,1990,"3,422.00",7.40,0.27
2,6,Dead Putting Society,1990,"3,376.00",8.00,1.00
2,7,Bart vs. Thanksgiving,1990,"3,299.00",7.70,0.64
2,8,Bart the Daredevil,1990,"3,653.00",8.30,1.37
2,9,Itchy & Scratchy & Marge,1990,"3,729.00",8.10,1.12
2,10,Bart Gets Hit by a Car,1991,"3,260.00",7.80,0.76
2,11,"One Fish, Two Fish, Blowfish, Blue Fish",1991,"4,428.00",8.80,1.97
2,12,The Way We Was,1991,"3,435.00",8.20,1.24
2,13,Homer vs. Lisa and the 8th Commandment,1991,"3,215.00",8.00,1.00
2,14,Principal Charming,1991,"3,078.00",7.50,0.39
2,15,"Oh Brother, Where Art Thou?",1991,"3,440.00",8.30,1.37
2,16,Bart's Dog Gets an F,1991,"3,044.00",7.50,0.39
2,17,Old Money,1991,"3,025.00",7.60,0.51
2,18,Brush with Greatness,1991,"3,071.00",7.90,0.88
2,19,Lisa's Substitute,1991,"4,210.00",8.60,1.73
2,20,The War of the Simpsons,1991,"3,005.00",7.80,0.76
2,21,Three Men and a Comic Book,1991,"3,595.00",8.30,1.37
2,22,Blood Feud,1991,"2,961.00",7.80,0.76
3,1,Stark Raving Dad,1991,"4,353.00",8.60,1.73
3,2,Mr. Lisa Goes to Washington,1991,"3,136.00",7.70,0.64
3,3,When Flanders Failed,1991,"3,278.00",8.20,1.24
3,4,Bart the Murderer,1991,"3,917.00",8.60,1.73
3,5,Homer Defined,1991,"3,699.00",8.40,1.49
3,6,"Like Father, Like Clown",1991,"3,022.00",7.60,0.51
3,7,Treehouse of Horror II,1991,342.00,8.20,1.24
3,8,Lisa's Pony,1991,"2,974.00",7.90,0.88
3,9,Saturdays of Thunder,1991,"2,966.00",7.90,0.88
3,10,Flaming Moe's,1991,"3,879.00",8.80,1.97
3,11,Burns Verkaufen der Kraftwerk,1991,"3,071.00",8.20,1.24
3,12,I Married Marge,1991,"2,979.00",8.30,1.37
3,13,Radio Bart,1992,"3,291.00",8.50,1.61
3,14,Lisa the Greek,1992,"2,839.00",8.00,1.00
3,15,Homer Alone,1992,"2,867.00",8.00,1.00
3,16,Bart the Lover,1992,"3,383.00",8.30,1.37
3,17,Homer at the Bat,1992,"4,002.00",8.70,1.85
3,18,Separate Vocations,1992,"2,885.00",8.20,1.24
3,19,Dog of Death,1992,"2,746.00",7.70,0.64
3,20,Colonel Homer,1992,"2,990.00",8.00,1.00
3,21,Black Widower,1992,"2,984.00",8.30,1.37
3,22,The Otto Show,1992,"2,812.00",7.70,0.64
3,23,Bart's Friend Falls in Love,1992,"2,774.00",7.70,0.64
3,24,"Brother, Can You Spare Two Dimes?",1992,"2,914.00",8.20,1.24
4,1,Kamp Krusty,1992,"3,441.00",8.50,1.61
4,2,A Streetcar Named Marge,1992,"3,150.00",8.10,1.12
4,3,Homer the Heretic,1992,"4,427.00",8.90,2.10
4,4,Lisa the Beauty Queen,1992,"2,877.00",7.70,0.64
4,5,Treehouse of Horror III,1992,"3,398.00",8.40,1.49
4,6,Itchy & Scratchy: The Movie,1992,"3,068.00",8.20,1.24
4,7,Marge Gets a Job,1992,"2,764.00",7.80,0.76
4,8,New Kid on the Block,1992,"3,002.00",8.20,1.24
4,9,Mr. Plow,1992,"3,851.00",8.80,1.97
4,10,Lisa's First Word,1992,"3,282.00",8.70,1.85
4,11,Homer's Triple Bypass,1992,"3,642.00",8.60,1.73
4,12,Marge vs. the Monorail,1993,"4,905.00",9.10,2.34
4,13,Selma's Choice,1993,"2,791.00",8.00,1.00
4,14,Brother from the Same Planet,1993,"2,829.00",8.20,1.24
4,15,I Love Lisa,1993,"3,071.00",8.40,1.49
4,16,Duffless,1993,"2,886.00",8.40,1.49
4,17,Last Exit to Springfield,1993,"4,481.00",9.00,2.22
